player	injury	position	team	games	fga	fgm	threepm	fgp	fta	ftm	ftp	totalpts	ppg	totalast	apg	totalrb	rbpg	totalstls	spg	totalblk	bpg	totalmin	mpg
"White, Derrick"		G	SA	61	464	213	57	45.9	175	150	85.7	633	10.4	206	3.4	193	3.2	39	0.6	55	0.9	1470	24.1
"Whiteside, Hassan"		C	SAC	61	676	418	4	61.8	225	153	68	993	16.3	74	1.2	869	14.2	24	0.4	187	3.1	1910	31.31
"Wiggins, Andrew"		F	GS	54	978	437	111	44.7	268	190	70.9	1175	21.8	198	3.7	274	5.1	45	0.8	53	1	1857	34.39
"Wiley, Austin"		C	FA																				
"Williams, Grant"		F	BOS	62	192	80	21	41.7	51	37	72.5	218	3.5	62	1	164	2.6	28	0.5	33	0.5	969	15.63
"Williams, Johnathan"		C	WAS	11	25	16	0	64	5	3	60	35	3.2	6	0.5	43	3.9	1	0.1	6	0.5	134	12.18
"Williams, Kenrich"		F	OKC	35	143	49	25	34.3	24	9	37.5	132	3.8	53	1.5	178	5.1	25	0.7	21	0.6	775	22.14
"Williams, Lou"		G	LAC	60	883	367	107	41.6	322	278	86.3	1119	18.7	344	5.7	186	3.1	40	0.7	10	0.2	1759	29.32
"Williams, Marvin"		F	MIL	52	249	110	52	44.2	54	47	87	319	6.1	56	1.1	148	2.8	35	0.7	26	0.5	1010	19.42
"Williams, Patrick"		F	CHI																				
"Williams, Robert"		C	BOS	23	62	42	0	67.7	25	14	56	98	4.3	22	1	108	4.7	20	0.9	28	1.2	324	14.09
"Williams-Goss, Nigel"		G	UTH	9	7	1	0	14.3	2	2	100	4	0.4	5	0.6	5	0.6	1	0.1	1	0.1	28	3.11
"Williamson, Zion"		F	NO	19	292	172	6	58.9	152	98	64.5	448	23.6	41	2.2	129	6.8	16	0.8	9	0.5	564	29.68
"Wilson, D.J."		F	MIL	31	101	40	14	39.6	9	6	66.7	100	3.2	22	0.7	68	2.2	2	0.1	5	0.2	281	9.06
"Windler, Dylan"		G	CLE																				
"Winslow, Justise"		F	MEM	11	129	50	6	38.8	27	18	66.7	124	11.3	44	4	73	6.6	7	0.6	5	0.5	353	32.09
"Winston, Cassius"		G	WAS																				
"Wiseman, James"		C	GS																				
"Wood, Christian"		F	HOU	62	508	288	54	56.7	242	180	74.4	810	13.1	60	1	390	6.3	34	0.5	54	0.9	1319	21.27
"Wright, Delon"		G	DET	65	381	179	45	47	90	71	78.9	474	7.3	220	3.4	260	4	76	1.2	21	0.3	1413	21.74
"Wright-Foreman, Justin"		G	UTH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
"Young, Thaddeus"		F	CHI	64	601	269	79	44.8	72	42	58.3	659	10.3	117	1.8	315	4.9	92	1.4	23	0.4	1594	24.91
"Young, Trae"		G	ATL	60	1249	546	205	43.7	559	481	86	1778	29.6	560	9.3	255	4.3	65	1.1	8	0.1	2119	35.32
"Yurtseven, Omer"		C	OKC																				
"Zeller, Cody"		"C,F"	CHA	58	479	251	18	52.4	179	122	68.2	642	11.1	88	1.5	411	7.1	40	0.7	25	0.4	1343	23.16
"Zizic, Ante"		C	CLE	22	72	41	0	56.9	19	14	73.7	96	4.4	6	0.3	66	3	7	0.3	5	0.2	222	10.09
"Zubac, Ivica"		C	LAC	64	336	202	0	60.1	141	107	75.9	511	8	69	1.1	461	7.2	13	0.2	60	0.9	1155	18.05
