rank	player	team	position	adp	min	max
52	"Turner, Myles"	IND	"C, F"	54.40	42	81
53	"Brown, Jaylen"	BOS	F	54.93	39	66
54	"Hield, Buddy"	SAC	G	56.00	44	68
55	"Robinson, Mitchell"	NY	C	57.07	39	71
56	"Hayward, Gordon"	CHA	F	57.27	41	85
57	"Ball, Lonzo"	NO	G	58.07	47	71
58	"Brogdon, Malcolm"	IND	G	59.07	50	68
59	"Aldridge, LaMarcus"	SA	"C, F"	59.73	39	88
60	"Harris, Tobias"	PHI	F	59.87	49	66
61	"Graham, Devonte'"	CHA	G	63.20	46	103
62	"Oubre, Kelly"	GS	F	64.40	48	83
63	"Warren, T.J."	IND	F	65.00	53	81
64	"Jackson, Jaren"	MEM	"F, C"	65.73	49	103
65	"Wall, John"	HOU	G	65.87	38	109
66	"Love, Kevin"	CLE	"F, C"	69.00	51	84
67	"Bryant, Thomas"	WAS	C	69.93	57	95
68	"Porzingis, Kristaps"	DAL	"F, C"	71.40	35	118
69	"Oladipo, Victor"	IND	G	72.13	58	89
70	"Lopez, Brook"	MIL	C	72.40	59	99
71	"Sexton, Collin"	CLE	G	73.07	64	96
72	"Markkanen, Lauri"	CHI	F	73.80	61	88
73	"Walker, Kemba"	BOS	G	74.20	30	152
74	"Green, Draymond"	GS	F	75.07	56	89
75	"Rubio, Ricky"	MIN	G	76.13	66	97
76	"White, Coby"	CHI	G	76.67	61	95
77	"Porter, Michael"	DEN	F	77.00	62	101
78	"Carter, Wendell"	CHI	C	78.67	64	101
79	"White, Derrick"	SA	G	80.13	55	120
80	"Holmes, Richaun"	SAC	"C, F"	81.73	57	119
81	"Murray, Dejounte"	SA	G	82.93	62	96
82	"Smart, Marcus"	BOS	G	83.00	66	95
83	"Allen, Jarrett"	BKN	C	84.47	73	105
84	"Horford, Al"	OKC	"C, F"	85.47	70	105
85	"Bertans, Davis"	WAS	F	86.27	73	109
86	"Bledsoe, Eric"	NO	G	88.07	63	118
87	"Herro, Tyler"	MIA	G	88.80	74	106
88	"Conley, Mike"	UTH	G	89.13	71	105
89	"Wiggins, Andrew"	GS	F	89.73	56	115
90	"Clarke, Brandon"	MEM	F	90.00	69	102
91	"Randle, Julius"	NY	F	90.87	74	115
92	"Anunoby, OG"	TOR	F	91.20	76	111
93	"Ibaka, Serge"	LAC	"C, F"	92.07	80	111
94	"Harrell, Montrezl"	LAL	"C, F"	92.87	79	115
95	"Bogdanovic, Bogdan"	ATL	G	94.20	63	110
96	"Griffin, Blake"	DET	F	95.40	66	122
97	"Bogdanovic, Bojan"	UTH	F	95.73	76	136
98	"Adams, Steven"	NO	C	96.07	86	106
99	"Bridges, Mikal"	PHO	F	96.53	75	128
100	"Gordon, Aaron"	ORL	F	98.33	82	117
101	"Fultz, Markelle"	ORL	G	100.33	81	116
102	"Wiseman, James"	GS	C	100.60	73	136
103	"Gallinari, Danilo"	ATL	F	101.33	77	129
104	"Schroder, Dennis"	LAL	G	101.87	85	121
105	"Grant, Jerami"	DET	F	101.93	75	140
106	"Rozier, Terry"	CHA	G	102.40	68	117
107	"Bagley, Marvin"	SAC	F	105.47	97	122
108	"Fournier, Evan"	ORL	G	106.60	89	125
109	"Porter, Otto"	CHI	F	110.93	93	132
110	"LeVert, Caris"	BKN	G	111.67	91	123
111	"Richardson, Josh"	DAL	G	112.47	97	130
112	"Ball, LaMelo"	CHA	G	112.60	83	143
113	"Washington, P.J."	CHA	F	113.93	96	128
114	"Robinson, Duncan"	MIA	F	115.53	99	138
115	"Dragic, Goran"	MIA	G	117.60	103	144
116	"Powell, Norman"	TOR	G	118.27	98	136
117	"Williams, Lou"	LAC	G	119.07	102	135
118	"Barrett, RJ"	NY	G	123.20	102	144
119	"Barton, Will"	DEN	F	123.60	111	151
120	"Jordan, DeAndre"	BKN	C	123.87	110	137
121	"Boucher, Chris"	TOR	F	124.73	96	199
122	"Cousins, DeMarcus"	HOU	C	124.87	109	150
123	"Toppin, Obi"	NY	F	125.60	102	156
124	"Nance, Larry"	CLE	C	130.00	106	158
125	"Rose, Derrick"	DET	G	130.13	113	148
126	"Dinwiddie, Spencer"	BKN	G	130.60	109	147
127	"Hachimura, Rui"	WAS	F	132.07	107	153
