player	injury	position	team	games	fga	fg	threepm	fgp	fta	ftm	ftp	ppg	apg	rbpg	spg	bpg	mpg
"Oladipo, Victor"		G	IND	13	161	63	21	39.1	41	32	78	13.8	3	3.2	0.8	0.2	25.85
"Olynyk, Kelly"		C	MIA	59	317	151	80	47.6	82	70	85.4	7.7	1.6	4.4	0.6	0.3	18.46
"Oni, Miye"		G	UTH	5	2	0	0	0	0	0	0	0	0	0.4	0	0	2.4
"Osman, Cedi"		F	CLE	65	609	266	123	43.7	94	63	67	11	2.4	3.6	0.8	0.2	29.37
"Oturu, Daniel"		C	LAC														
"Oubre, Kelly"		F	GS	56	826	373	108	45.2	246	192	78	18.7	1.5	6.4	1.3	0.7	34.54
"Owens, Tariq"		F	PHO	3	5	1	0	20	2	2	100	1.3	0	1	0.3	0	5.33
"Pargo, Jeremy"		G	GS	3	22	11	3	50	1	0	0	8.3	2.7	1	0.3	0	14.67
"Parker, Jabari"		F	SAC	33	399	199	31	49.9	74	55	74.3	14.7	1.8	5.9	1.3	0.5	25.85
"Parsons, Chandler"		F	ATL	5	18	5	4	27.8	0	0	0	2.8	0.6	1.4	0.8	0.2	10.6
"Paschall, Eric"		F	GS	60	640	318	37	49.7	212	164	77.4	14	2.1	4.6	0.5	0.2	27.57
"Pasecniks, Anzejs"		C	WAS	24	106	56	0	52.8	54	32	59.3	6	0.7	4.1	0.3	0.5	16.88
"Patterson, Patrick"		F	LAC	51	188	76	55	40.4	34	27	79.4	4.6	0.6	2.4	0.1	0.1	11.9
"Patton, Justin"		C	MIL	5	10	4	1	40	0	0	0	1.8	0.4	1	0	0	5
"Paul, Chris"		G	PHO	63	805	394	101	48.9	250	225	90	17.7	6.8	4.9	1.6	0.1	31.75
"Payton, Elfrid"		G	NY	45	440	193	14	43.9	86	49	57	10	7.2	4.7	1.6	0.4	27.69
"Payton II, Gary"		G	WAS	29	116	48	13	41.4	8	4	50	3.9	1.7	2.8	1.1	0.2	14.9
"Pelle, Norvel"		C	PHI	20	35	18	0	51.4	12	6	50	2.1	0.4	3	0.1	1.3	9
"Perry, Reggie"		F	BKN														
"Petrusev, Filip"		C	FA														
"Pinson, Theo"		G	NY	33	155	45	15	29	16	15	93.8	3.6	1.7	1.6	0.5	0.1	11.09
"Plumlee, Mason"		C	DET	53	248	153	0	61.7	138	74	53.6	7.2	2.4	5.3	0.5	0.6	16.96
"Poeltl, Jakob"		C	SA	58	218	135	0	61.9	74	36	48.6	5.3	1.8	5.3	0.5	1.4	16.6
"Poirier, Vincent"		C	PHI	21	33	16	1	48.5	7	6	85.7	1.9	0.3	1.6	0.1	0.3	5.38
"Pokusevski, Aleksej"		C	OKC														
"Ponds, Shamorie"		G	TOR	4	5	3	1	60	2	2	100	2.3	0.5	0.3	0	0.3	2.75
"Poole, Jordan"		G	GS	57	502	167	74	33.3	119	95	79.8	8.8	2.4	2.1	0.6	0.2	22.4
"Porter, Kevin"		F	CLE	50	421	186	53	44.2	101	73	72.3	10	2.2	3.2	0.9	0.3	23.24
"Porter, Michael"		F	DEN	48	285	141	43	49.5	43	33	76.7	7.5	0.7	4.1	0.4	0.4	13.94
"Porter, Otto"		F	CHI	14	140	62	24	44.3	27	19	70.4	11.9	1.8	3.4	1.1	0.4	23.5
"Portis, Bobby"		"C,F"	MIL	66	589	265	67	45	93	71	76.3	10.1	1.5	5.1	0.5	0.3	21.11
"Porzingis, Kristaps"	Out	"F,C"	DAL	51	808	339	126	42	228	177	77.6	19.2	1.7	9.5	0.7	2.1	31.31
"Powell, Dwight"		"C,F"	DAL	40	229	146	10	63.8	111	74	66.7	9.4	1.5	5.7	0.9	0.6	26.45
"Powell, Norman"		G	TOR	44	516	259	94	50.2	130	109	83.8	16.4	1.8	3.7	1.3	0.4	28.91
